worker_sex,request_sex,age_in_range,worker_region,request_region,worker_position,request_job,worker_time,request_time,experience_match,region_match,job_match,sex_match,time_match,score
여자,여자,1,종로구,양천구,통역 알바,사무보조,오후,오전,1,0,0,1,0,40.0
여자,여자,1,서대문구,양천구,통역 알바,간병 도우미,오전,오전,0,0,0,1,1,40.0
남자,남자,1,강서구,동작구,웨딩샵 피팅 보조,카페 알바,오후,오후,1,0,0,1,1,60.0
남자,여자,1,은평구,서대문구,미스터리 쇼퍼,미스터리 쇼퍼,오후,오전,1,0,1,0,0,50.0
남자,남자,0,용산구,영등포구,PC방 알바,미스터리 쇼퍼,종일,오후,1,0,0,1,0,30.0
여자,남자,1,동대문구,구로구,마트 계산원,갤러리 안내원,종일,오전,0,0,0,0,0,10.0
남자,여자,1,마포구,성동구,술집,마사지샵 보조,종일,오전,1,0,0,0,0,30.0
여자,여자,1,종로구,관악구,문구점 직원,문구점 직원,오전,오전,1,0,1,1,1,80.0
여자,여자,0,중구,마포구,전시회 도우미,여행사 보조,종일,종일,0,0,0,1,1,30.0
남자,남자,1,강서구,강동구,병원 접수,볼링장 알바,오전,오후,1,0,0,1,0,40.0
남자,남자,0,동대문구,강서구,피팅모델,피팅모델,오후,종일,1,0,1,1,0,50.0
여자,남자,0,양천구,서대문구,발렛파킹,웹디자인 보조,오전,오후,0,0,0,0,0,0.0
여자,남자,0,영등포구,중구,영상 편집 보조,콜센터,오후,오전,0,0,0,0,0,0.0
여자,여자,1,중구,양천구,발렛파킹,발렛파킹,오전,오후,0,0,1,1,0,40.0
남자,남자,0,동작구,동대문구,외국어 과외,외국어 과외,오후,종일,1,0,1,1,0,50.0
여자,남자,1,은평구,영등포구,발렛파킹,사진 촬영 보조,오전,오전,0,0,0,0,1,30.0
여자,여자,1,종로구,영등포구,노래방 알바,렌터카 안내,오전,오후,1,0,0,1,0,40.0
여자,남자,0,강남구,강서구,학원 보조교사,학원 보조교사,종일,오후,1,0,1,0,0,40.0
